codigo;conteudo;requisitos;area
101-1;Políticas para deter e reverter a perda de biodiversidade;"- Descrever políticas ou compromissos para deter e reverter a perda de biodiversidade.
- Relatar a aplicabilidade dessas políticas às atividades da organização e suas relações de negócios.
- Relatar objetivos, metas, ano-base e indicadores usados para avaliar o progresso.";Sustentabilidade|Responsabilidade Social Corporativa (RSC)
101-2;Gestão de impactos na biodiversidade;"- Descrever a aplicação da hierarquia de mitigação (evitar, minimizar, restaurar e compensar impactos).
- Relatar medidas de restauração e reabilitação e o tamanho das áreas afetadas.
- Listar unidades operacionais com planos de gestão da biodiversidade.
- Descrever sinergias e trade-offs entre biodiversidade e clima.";Sustentabilidade|Operações|Meio Ambiente
101-3;Acesso e repartição justa e equitativa de benefícios;"- Descrever o processo de conformidade com regulamentos de acesso e repartição justa de benefícios.
- Relatar ações voluntárias para promover acesso e repartição justa e equitativa de benefícios além das obrigações legais.";Jurídico|Sustentabilidade|Responsabilidade Social Corporativa (RSC)
101-4;Identificação de impactos na biodiversidade;- Explicar como foram determinadas as unidades operacionais e produtos/serviços com impactos significativos na biodiversidade.- Relatar métodos e premissas usadas para identificar esses impactos.;Sustentabilidade|Operações|Compras
101-5;Locais com impactos na biodiversidade;"- Relatar localização e tamanho das unidades operacionais com impactos significativos.
- Indicar proximidade de áreas ecologicamente sensíveis e descrever atividades realizadas nessas unidades.";Sustentabilidade|Operações|Planejamento Estratégico
101-6;Fatores diretos de perda de biodiversidade;"- Relatar a conversão de ecossistemas naturais, incluindo tamanho e tipo de ecossistema.
- Informar sobre a exploração de recursos naturais e o risco de extinção de espécies selvagens.
- Relatar poluição gerada e introdução de espécies exóticas invasoras.";Sustentabilidade|Meio Ambiente|Operações
201-1;Valor econômico direto gerado e distribuído;"- Valor econômico direto gerado: receitas.
- Valor econômico distribuído: custos operacionais, salários e benefícios de empregados, pagamentos a provedores de capital, pagamentos ao governo (por país) e investimentos na comunidade.
- Valor econômico retido: ""valor econômico direto gerado"" menos ""valor econômico distribuído"".
- Relatar valor econômico gerado e distribuído por país, região ou mercado, se significativo.";Finanças|Contabilidade|Sustentabilidade
201-2;Implicações financeiras e outros riscos e oportunidades decorrentes de mudanças climáticas;"- Descrição do risco ou da oportunidade e sua classificação como físico, regulatório ou de outra natureza.
- Descrição do impacto associado ao risco ou à oportunidade. 
- Implicações financeiras do risco ou da oportunidade antes de serem tomadas medidas.
- Métodos utilizados para gerenciar o risco ou a oportunidade.
- Custos das medidas tomadas para gerenciar o risco ou a oportunidade.";Sustentabilidade|Risco|Finanças
201-3;Obrigações do plano de benefício definido e outros planos de aposentadoria;"- Se o passivo do plano for coberto pelos recursos gerais da organização, relatar o valor estimado do passivo.
- Se houver um fundo específico para pagar o passivo do plano de pensão: 
- Estimativa de cobertura do passivo pelo ativo alocado.
- Base de cálculo da estimativa. 
- Data da estimativa.
- Estratégia para garantir cobertura completa, se não coberto.
- Percentual do salário contribuído.";Recursos Humanos|Finanças
201-4;Apoio financeiro recebido do governo;"- Valor monetário total do apoio financeiro recebido do governo, incluindo: 
- Benefícios e créditos fiscais.
- Subsídios.
- Subvenções para investimento, pesquisa e desenvolvimento e outros tipos relevantes de concessões.
- Prêmios.
- Royalty holidays.
- Apoio financeiro de Agências de Crédito à Exportação.
- Incentivos financeiros. 
- Outros benefícios financeiros.";Finanças|Contabilidade|Relações Governamentais
203-1;Investimentos em infraestrutura e apoio a serviços;- Nível de desenvolvimento de investimentos em infraestrutura e apoio a serviços que sejam significativos. <br> - Impactos atuais ou esperados nas comunidades e economias locais, incluindo impactos positivos e negativos, quando relevantes. <br> - Se esses investimentos e serviços são comerciais, em espécie ou gratuitos.;Sustentabilidade|Finanças|Operações
203-2;Impactos econômicos indiretos significativos;- Exemplos de impactos econômicos indiretos significativos da organização já identificados, tanto positivos como negativos. <br> - Importância dos impactos econômicos indiretos no contexto de referências externas e prioridades para os stakeholders, tais como normas, protocolos e agendas de políticas nacionais e internacionais.;Sustentabilidade|Estratégia|Relações com a Comunidade
204-1;Proporção de gastos com fornecedores locais;"- Percentual do orçamento de compras utilizado em unidades operacionais importantes que é gasto com fornecedores locais. <br> - A definição geográfica de ""local"" adotada pela organização. <br> - A definição utilizada para ""unidades operacionais importantes"".";Compras|Finanças|Sustentabilidade
205-1;Operações avaliadas quanto a riscos relacionados à corrupção;- Número total e percentual de operações avaliadas quanto a riscos relacionados à corrupção. <br> - Riscos significativos relacionados à corrupção identificados por avaliação de riscos.;Compliance|Auditoria Interna|Gestão de Riscos
205-2;Comunicação e capacitação em políticas e procedimentos de combate à corrupção;- Número total e percentual de membros do órgão de governança aos quais foram comunicados os procedimentos e as políticas de combate à corrupção adotados pela organização, discriminados por região. <br> - Número total e percentual de empregados aos quais foram comunicados os procedimentos e as políticas de combate à corrupção adotados pela organização, discriminados por categoria funcional e região. <br> - Número total e percentual de parceiros de negócios aos quais foram comunicados os procedimentos e as políticas de combate à corrupção adotados pela organização, discriminados por tipo de parceiro de negócios e região. <br> - Número total e percentual de membros do órgão de governança que receberam capacitação em combate à corrupção, discriminados por região. <br> - Número total e percentual de empregados que receberam capacitação em combate à corrupção, discriminados por categoria funcional e região.;Compliance|Recursos Humanos|Comunicação Corporativa
205-3;Casos confirmados de corrupção e medidas tomadas;- Número total e natureza dos casos confirmados de corrupção. <br> - Número total de casos confirmados em que empregados foram demitidos ou punidos por corrupção. <br> - Número total de casos confirmados em que contratos com parceiros de negócios foram rescindidos ou não renovados em decorrência de violações relacionadas à corrupção. <br> - Processos judiciais relacionados à corrupção movidos contra a organização ou seus empregados no período de relato e o resultado desses processos.;Compliance|Jurídico|Recursos Humanos
206-1;Ações judiciais por concorrência desleal, práticas de truste e monopólio;- Número de ações judiciais pendentes ou encerradas durante o período de relato referentes a concorrência desleal e violações de leis antitruste e antimonopólio em que a organização tenha sido identificada como participante. <br> - Principais resultados das ações judiciais concluídas, incluindo quaisquer decisões ou sentenças.;Jurídico|Compliance|Gestão de Riscos
207-1;Abordagem tributária;- Descrição da abordagem tributária, incluindo: estratégia fiscal, órgão de governança ou cargo executivo responsável, abordagem para conformidade regulatória, vinculação às estratégias de negócios e desenvolvimento sustentável​.;Finanças|Jurídico|Compliance
207-2;Governança, controle e gestão de risco fiscal;- Estrutura de governança e controle fiscal, incluindo: órgão ou cargo responsável, integração da abordagem tributária na organização, abordagem para riscos fiscais, avaliação da conformidade com a estrutura de governança e controle fiscal. <br> - Mecanismos para apresentação de preocupações relacionadas à conduta empresarial e integridade em relação a tributos. <br> - Processo de verificação de relatos de conteúdos fiscais.;Finanças|Jurídico|Compliance
207-3;Engajamento de stakeholders e gestão de suas preocupações quanto a tributos;- Descrição da abordagem para engajamento de stakeholders e gestão de suas preocupações quanto a tributos, incluindo: relacionamento com autoridades fiscais, ações de advocacy em políticas públicas referentes a tributos, processos para coletar e avaliar opiniões e preocupações dos stakeholders​.;Relações Institucionais|Jurídico|Comunicação Corporativa
207-4;Relato país-a-país;- Informações financeiras, econômicas e fiscais para cada jurisdição onde a organização opera: nomes das entidades residentes, atividades primárias, número de empregados, receitas de vendas, receitas de transações intra-grupo, lucros/perdas antes dos impostos, bens tangíveis, imposto de renda pago em regime de caixa, imposto de renda incidente sobre lucros/perdas, motivos para diferença entre imposto incidente e imposto devido​.;Finanças|Jurídico|Compliance
301-1;Materiais utilizados, discriminados por peso ou volume;- Peso ou volume total de materiais usados para produzir e embalar os principais produtos e serviços da organização no decorrer do período de relato, discriminados por: <br> i. Materiais não renováveis utilizados. <br> ii. Materiais renováveis utilizados​.;Sustentabilidade|Produção|Logística
301-2;Matérias-primas ou materiais reciclados utilizados;- Percentual de matérias-primas ou materiais reciclados utilizados na fabricação de seus principais produtos e serviços​.;Sustentabilidade|Produção|Logística
